c1,c2,R.beta.Bias,R.beta.sample.std,R.beta.est.std,R.beta.MSE,R.Sn.Size.Power,R.beta.std.SE,R.alpha1.Bias,R.alpha1.sample.std,R.alpha1.est.std,R.alpha1.MSE,R.Tn.Size.Power,R.alpha.std.SE,O.beta.Bias,O.beta.sample.std,O.beta.est.std,O.beta.MSE,O.Sn.Size.Power,O.beta.std.SE,O.alpha1.Bias,O.alpha1.sample.std,O.alpha1.est.std,O.alpha1.MSE,O.Tn.Size.Power,O.alpha.std.SE,Z.beta.Bias,Z.beta.sample.std,Z.beta.est.std,Z.beta.MSE,Z.Sn.Size.Power,Z.beta.std.SE,Z.alpha1.Bias,Z.alpha1.sample.std,Z.alpha1.est.std,Z.alpha1.MSE,Z.Tn.Size.Power,Z.alpha.std.SE
-1,0.5,-0.025574918,0.300353202,0.322483549,0.090866123,1,0.024002434,0.006104795,0.119422591,0.107999365,0.014299024,0.716,0.012678559,-0.023653439,0.297884062,0.32255085,0.0892944,1,0.02400602,0.004183317,0.115154756,0.109607065,0.013278118,0.988,0.012615823,0.059726995,0.267015366,0.309858607,0.07486452,1,0.026098627,-0.078788305,0.199461258,0.053157452,0.04599239,0.964,0.008811352
-0.9,0.5,-0.025005354,0.298017817,0.320444022,0.089439887,0.992,0.02417088,0.005535231,0.112638445,0.101696376,0.012718058,0.736,0.01177095,-0.023666722,0.295468144,0.320458021,0.087861538,0.992,0.02418482,0.004196599,0.108474122,0.103286015,0.011784247,1,0.011752393,0.027568485,0.26024954,0.30886174,0.068489844,0.998,0.026430341,-0.046696602,0.19449123,0.056908244,0.040007411,0.974,0.009709923
-0.8,0.5,-0.013526562,0.303878926,0.319365796,0.09252537,0.982,0.023789997,0.002255103,0.097452037,0.095750529,0.009501985,0.782,0.011171465,-0.012039921,0.302450347,0.31932216,0.091621172,0.982,0.023804036,0.000768462,0.094778359,0.097054706,0.008983528,1,0.01105674,0.015358811,0.258357177,0.308767627,0.066984324,0.984,0.025968988,-0.026412881,0.179684152,0.060396232,0.032984035,0.986,0.010466232
-0.7,0.5,-0.025323,0.293290969,0.316986461,0.086660847,0.948,0.02449685,0.005852878,0.098969222,0.090258863,0.009829163,0.8,0.010147229,-0.023693286,0.291335301,0.316902268,0.085437629,0.948,0.024522407,0.004223164,0.096023352,0.091660818,0.009238319,1,0.01009602,-0.012912939,0.245121502,0.306321061,0.060251295,0.944,0.027314328,-0.00649156,0.181003478,0.066229134,0.032804399,0.982,0.012036294
-0.6,0.5,-0.025117511,0.291347918,0.315578439,0.085514499,0.864,0.024644333,0.005647389,0.09315812,0.085114519,0.008710328,0.808,0.009382357,-0.023706569,0.28962835,0.315446446,0.084446583,0.866,0.024673381,0.004236446,0.090378735,0.086493456,0.008186263,1,0.009315431,-0.019797492,0.236973907,0.304681655,0.056548573,0.792,0.027926987,0.000341478,0.173787808,0.072055628,0.030202319,0.986,0.013410395
-0.5,0.5,-0.025126729,0.289631497,0.314371921,0.084517757,0.682,0.02478354,0.005656607,0.087550747,0.080560001,0.007697131,0.846,0.008623298,-0.023719851,0.288166925,0.314209451,0.083602808,0.686,0.024807905,0.004249729,0.085225692,0.081867192,0.007281479,1,0.008580458,-0.016433628,0.228889831,0.302697141,0.052660619,0.662,0.028724139,-0.003030933,0.167084086,0.078755103,0.027926278,0.978,0.015031742
-0.4,0.5,-0.012686562,0.295753035,0.314148186,0.087630807,0.514,0.024275962,0.001415103,0.076264002,0.076730675,0.0058182,0.9,0.008277417,-0.0114237,0.295552832,0.313993472,0.087481978,0.52,0.024320602,0.000152241,0.074374706,0.077748791,0.00553162,1,0.008214826,0.007367247,0.228490611,0.301683293,0.052262235,0.494,0.028704051,-0.018652188,0.158113678,0.08499352,0.025347839,0.974,0.016418155
-0.3,0.5,-0.024437534,0.287108052,0.312614877,0.083028227,0.288,0.024980292,0.004967411,0.078200085,0.073413192,0.006139928,0.94,0.007389446,-0.023746416,0.285995071,0.312401885,0.082357073,0.29,0.025016559,0.004276294,0.076781759,0.074629723,0.005913725,1,0.007326593,0.025620603,0.212977404,0.297662002,0.04601579,0.246,0.030843442,-0.045167977,0.157549694,0.093961192,0.026862052,0.956,0.01862072
-0.2,0.5,-0.023951732,0.286173102,0.312070886,0.082468729,0.146,0.025049207,0.004481609,0.075155554,0.07099683,0.005668442,0.962,0.006959161,-0.023759698,0.285290361,0.311835176,0.081955113,0.15,0.025086416,0.004289576,0.073704515,0.072220737,0.005450756,1,0.006869568,0.067406484,0.206480269,0.294858758,0.047177735,0.132,0.031952259,-0.087123198,0.154445909,0.101147635,0.031443991,0.9,0.019967234
-0.1,0.5,-0.023566052,0.285590926,0.311744777,0.082117536,0.07,0.02509519,0.00409593,0.073105324,0.069530218,0.005361165,0.97,0.006650908,-0.023772981,0.284842536,0.311494981,0.081700425,0.066,0.025131333,0.004302858,0.07153002,0.070737409,0.005135058,1,0.006578591,0.123360445,0.20441618,0.292328268,0.057003774,0.068,0.032892373,-0.143016745,0.150058378,0.106472041,0.042971306,0.814,0.02056761
