c1,c2,R.beta.Bias,R.beta.sample.std,R.beta.est.std,R.beta.MSE,R.Sn.Size.Power,R.beta.std.SE,R.alpha1.Bias,R.alpha1.sample.std,R.alpha1.est.std,R.alpha1.MSE,R.Tn.Size.Power,R.alpha.std.SE,O.beta.Bias,O.beta.sample.std,O.beta.est.std,O.beta.MSE,O.Sn.Size.Power,O.beta.std.SE,O.alpha1.Bias,O.alpha1.sample.std,O.alpha1.est.std,O.alpha1.MSE,O.Tn.Size.Power,O.alpha.std.SE,Z.beta.Bias,Z.beta.sample.std,Z.beta.est.std,Z.beta.MSE,Z.Sn.Size.Power,Z.beta.std.SE,Z.alpha1.Bias,Z.alpha1.sample.std,Z.alpha1.est.std,Z.alpha1.MSE,Z.Tn.Size.Power,Z.alpha.std.SE
-1,0.5,-0.019318571,0.274082989,0.290596434,0.075494692,1,0.020508762,0.003224178,0.106981667,0.100152068,0.011455472,0.842,0.011047864,-0.018783788,0.272467349,0.290658567,0.074591287,1,0.020497766,0.002689395,0.106156271,0.100896682,0.011276387,0.992,0.011237394,0.181771776,0.261269375,0.279719548,0.101302665,1,0.022716089,-0.197680901,0.159219457,0.026157987,0.064428574,0.972,0.004446494
-0.9,0.5,-0.019723343,0.271579595,0.288585264,0.074144487,0.996,0.020677576,0.00362895,0.101348559,0.094119986,0.0102847,0.848,0.010261984,-0.018875214,0.270009509,0.288608361,0.073261409,0.996,0.020659054,0.002780822,0.099592785,0.09482892,0.009926456,0.998,0.010433093,0.11709211,0.250471627,0.278526443,0.076446598,0.99,0.023172296,-0.132758986,0.159811013,0.02989698,0.043164508,0.978,0.005114984
-0.8,0.5,-0.016913273,0.27253291,0.287018659,0.07432198,0.992,0.020443005,0.002834036,0.091353851,0.080960053,0.008353558,0.846,0.009397737,-0.016475214,0.271101661,0.287016788,0.073536493,0.992,0.020437458,0.002275481,0.089457648,0.0790828,0.008007849,1,0.009407414,0.079038138,0.301679773,0.297341258,0.069589735,0.952,0.02321018,-0.082894805,0.157006072,0.034210867,0.031522455,0.996,0.00601105
-0.7,0.5,-0.019733612,0.266928435,0.285144849,0.071640205,0.986,0.020981854,0.003639219,0.088457502,0.082965914,0.007837974,0.886,0.008696072,-0.019058068,0.265789027,0.285121497,0.071007017,0.986,0.020970046,0.002963675,0.087310794,0.083618218,0.007631958,1,0.008875094,0.037954519,0.227245556,0.275372292,0.053081088,0.898,0.024446747,-0.053852009,0.152345387,0.039587049,0.026109156,0.99,0.007069796
-0.6,0.5,-0.020060092,0.265103832,0.283738394,0.070682449,0.932,0.021117292,0.003965699,0.082536254,0.077946919,0.00682796,0.928,0.007956981,-0.019149494,0.264037498,0.283692381,0.070082503,0.932,0.021111865,0.003055101,0.081719384,0.078607282,0.006687391,1,0.008131146,0.02211858,0.215118516,0.273329111,0.046765208,0.806,0.025275039,-0.038135365,0.14884188,0.045765066,0.023608211,0.99,0.008270464
-0.5,0.5,-0.019987582,0.263435795,0.282540939,0.069797922,0.786,0.021241585,0.003893189,0.077238251,0.073468554,0.005980904,0.94,0.007253151,-0.019240921,0.262531708,0.282477203,0.069293111,0.788,0.021239912,0.003146528,0.076603169,0.074102013,0.005877946,1,0.007422176,0.021447054,0.202708563,0.27090407,0.041550738,0.68,0.026264264,-0.03753746,0.148282738,0.053133598,0.023396831,0.986,0.009664264
-0.4,0.5,-0.015750161,0.264769324,0.281876417,0.070135859,0.618,0.020870634,0.001670924,0.069460775,0.069240651,0.004827591,0.954,0.00665029,-0.015340921,0.264210222,0.281786368,0.069834939,0.62,0.020891512,0.0012026,0.068630714,0.061948247,0.004711621,1,0.006766377,0.044367236,0.26307882,0.28360852,0.042804301,0.518,0.027268254,-0.048454344,0.144231077,0.061562916,0.023150427,0.992,0.011406219
-0.3,0.5,-0.01995572,0.260918717,0.280795952,0.068476808,0.372,0.021439073,0.003861327,0.068771821,0.066374912,0.004744473,0.962,0.006028171,-0.019423774,0.260273717,0.280699291,0.068119691,0.368,0.021443305,0.003329381,0.06821536,0.067006194,0.00466442,1,0.006181513,0.062875379,0.180420426,0.264844085,0.036504843,0.324,0.028791219,-0.078961097,0.146069861,0.071121605,0.027571259,0.964,0.012805761
-0.2,0.5,-0.019915103,0.260015308,0.280246443,0.068004572,0.186,0.021502181,0.00382071,0.065615932,0.063996607,0.004320048,0.988,0.005559102,-0.0195152,0.259528071,0.280140697,0.067735663,0.184,0.021514171,0.003420807,0.065181571,0.06462622,0.004260339,1,0.005711209,0.101917866,0.174547569,0.26142493,0.040854105,0.146,0.030146562,-0.118025107,0.143077338,0.080631866,0.034401051,0.928,0.014119773
-0.1,0.5,-0.019793752,0.259434712,0.279917063,0.067698163,0.06,0.02154883,0.003699359,0.063445759,0.062520049,0.00403905,0.988,0.005269822,-0.019606627,0.259041187,0.279804277,0.067486756,0.062,0.021562369,0.003512234,0.063079663,0.063151972,0.00399138,1,0.005397859,0.152235732,0.175348817,0.258461576,0.053922926,0.056,0.031099483,-0.168322013,0.135128937,0.088319446,0.04659213,0.884,0.014670843
0,0.5,-0.010049811,0.260996036,0.28013556,0.068135332,0.038,0.021056156,-2.94E-05,0.059822536,0.061830241,0.003578737,0.982,0.00538885,-0.004208956,0.26021664,0.279919837,0.068251849,0.038,0.021088331,0.000129719,0.059446111,0.061652454,0.003533857,1,0.005535834,0.192900632,0.288346041,0.286893211,0.085158923,0.024,0.031151115,-0.226984538,0.12150174,0.091948394,0.066284653,0.74,0.014488196
0.1,0.5,-0.019627858,0.259000313,0.279913844,0.067466415,0.08,0.021570249,0.003533465,0.06222411,0.062500852,0.003884325,0.98,0.005283867,-0.01978948,0.258848767,0.279800634,0.067394308,0.08,0.021587719,0.003695087,0.062009447,0.063135828,0.003858825,1,0.005381233,0.27902542,0.196731549,0.257030593,0.116558487,0.038,0.03079262,-0.29512981,0.10287328,0.090595062,0.097684517,0.596,0.013380847
